patient,model_type,bit_width,event_average_detection_delay,event_sensitivity,event_false_detections_per_hour
53,bit_width_14,14.0,-30.0,100.0,12.80737949742606
54,bit_width_14,14.0,26.0,40.0,4.714559263352761
55,bit_width_14,14.0,7.833333333333333,100.0,5.924230637134419
56,bit_width_14,14.0,-8.6,55.55555555555556,6.320761003082155
57,bit_width_14,14.0,36.0,50.0,3.257931026675761
58,bit_width_14,14.0,-4.190476190476191,97.61904761904762,5.483497931820066
59,bit_width_14,14.0,14.0,71.42857142857143,4.684487071960722
60,bit_width_14,14.0,2.3125,100.0,10.781426927385409
61,bit_width_14,14.0,-0.2222222222222222,100.0,10.306079120241137
62,bit_width_14,14.0,0.25,88.88888888888889,7.228995862518398
63,bit_width_14,14.0,7.0,100.0,4.67002707255153
64,bit_width_14,14.0,-20.0,100.0,5.2
65,bit_width_14,14.0,-18.285714285714285,100.0,7.219935255077308
66,bit_width_14,14.0,5.333333333333333,100.0,4.632499009407518
67,bit_width_14,14.0,2.625,95.83333333333333,7.469739298789099
68,bit_width_14,14.0,1.6666666666666667,100.0,6.4612623392162725
69,bit_width_14,14.0,-14.0,100.0,6.82022135806162
70,bit_width_14,14.0,-4.857142857142857,100.0,5.068767782378737
71,bit_width_14,14.0,-30.0,75.0,12.08444663019616
72,bit_width_14,14.0,14.2,83.33333333333333,5.563864792102901
73,bit_width_14,14.0,-2.3333333333333335,100.0,5.572070664754943
74,bit_width_14,14.0,-6.0,100.0,8.074090485490972
75,bit_width_14,14.0,9.0,100.0,5.948717948717949
76,bit_width_14,14.0,55.0,75.0,4.279907524258959
77,bit_width_14,14.0,0.8333333333333334,66.66666666666667,7.680835529622944
78,bit_width_14,14.0,-22.916666666666668,100.0,5.75102645582578
79,bit_width_14,14.0,11.333333333333334,100.0,4.333333333333333
80,bit_width_14,14.0,0.25,100.0,7.7743941014269
81,bit_width_14,14.0,-12.333333333333334,100.0,8.339838277773724
82,bit_width_14,14.0,-0.21428571428571455,100.0,6.3083749027517895
83,bit_width_14,14.0,-13.0,100.0,5.759543772764112
84,bit_width_14,14.0,-3.0,100.0,8.956280152529873
85,bit_width_14,14.0,-19.6,100.0,9.125632892424173
86,bit_width_14,14.0,17.25,87.5,10.504576386693847
87,bit_width_14,14.0,-18.6,83.33333333333333,10.351624258207986
88,bit_width_14,14.0,10.333333333333334,75.0,6.193247163249347
89,bit_width_14,14.0,5.5,66.66666666666667,3.32780847145488
90,bit_width_14,14.0,-7.333333333333333,100.0,7.2
91,bit_width_14,14.0,26.0,100.0,3.3069306930693068
92,bit_width_14,14.0,-30.0,33.333333333333336,5.287328088209389
93,bit_width_14,14.0,-5.625,100.0,8.091268944864916
94,bit_width_14,14.0,-22.5,50.0,7.9547061193034425
95,bit_width_14,14.0,-25.875,100.0,8.394040488143562
96,bit_width_14,14.0,,0.0,2.2290868080770854
97,bit_width_14,14.0,-3.5,50.0,10.4026116324102
98,bit_width_14,14.0,12.625,100.0,5.564371818912403
99,bit_width_14,14.0,46.5,50.0,1.4735812467161489
100,bit_width_14,14.0,-19.666666666666668,75.0,4.217541988802985
101,bit_width_14,14.0,30.25,83.33333333333333,6.813805267978848
102,bit_width_14,14.0,,0.0,2.994456762749446
103,bit_width_14,14.0,-6.5,66.66666666666667,2.9674061900849082
104,bit_width_14,14.0,-0.8125,100.0,7.975840732773127
105,bit_width_14,14.0,17.166666666666668,100.0,8.861470543957301
106,bit_width_14,14.0,10.0,75.0,8.901181874154158
107,bit_width_14,14.0,0.0,100.0,6.910538945237443
108,bit_width_14,14.0,-1.625,100.0,5.6678174490086715
109,bit_width_14,14.0,1.6666666666666667,100.0,4.293583809783102
110,bit_width_14,14.0,11.5,100.0,10.66438206010997
111,bit_width_14,14.0,44.0,40.0,5.169009871373018
112,bit_width_14,14.0,-30.0,50.0,6.11401641360848
113,bit_width_14,14.0,29.0,37.5,3.4998504337421483
114,bit_width_14,14.0,-8.333333333333334,100.0,6.151990349819059
115,bit_width_14,14.0,-16.75,100.0,6.785283474065139
116,bit_width_14,14.0,1.0,100.0,10.85645355850422
117,bit_width_14,14.0,10.2,100.0,5.015142337976983
118,bit_width_14,14.0,-2.6666666666666665,100.0,7.897098414597667
119,bit_width_14,14.0,-6.666666666666667,100.0,9.691893508824409
120,bit_width_14,14.0,5.2,100.0,8.108455241954475
121,bit_width_14,14.0,-3.0,41.666666666666664,4.311500538037147
122,bit_width_14,14.0,-11.0,66.66666666666667,5.42822677925211
123,bit_width_14,14.0,-9.0,100.0,7.268920131618307
124,bit_width_14,14.0,5.4,100.0,4.753249030702928
125,bit_width_14,14.0,,0.0,4.423953698746503
126,bit_width_14,14.0,4.5,70.0,7.753514807059527
127,bit_width_14,14.0,9.75,66.66666666666667,3.256936067551266
128,bit_width_14,14.0,16.833333333333332,100.0,8.615016452288364
129,bit_width_14,14.0,-8.0,100.0,5.384385282680228
130,bit_width_14,14.0,-0.6666666666666666,85.71428571428571,5.10991851505379
131,bit_width_14,14.0,9.0,100.0,3.7394451145958985
132,bit_width_14,14.0,3.770833333333333,94.11764705882354,4.603634739959122
133,bit_width_14,14.0,12.666666666666666,62.5,5.971049457177322
